symbol,date,1. open,2. high,3. low,4. close,5. volume
MELI,2022-07-29,766.0000,825.0000,720.8408,813.7100,2792362
MELI,2022-07-22,700.2000,802.4200,680.8200,763.9200,2938779
MELI,2022-07-15,696.3200,698.5050,615.5400,689.9900,3056232
MELI,2022-07-08,649.0200,728.4100,627.8600,708.6300,2308154
MELI,2022-07-01,745.3900,752.6594,611.4600,659.9500,2988912
MELI,2022-06-24,654.8000,745.9000,638.1200,739.4600,2802982
MELI,2022-06-17,643.9600,683.8450,600.6850,635.2200,4376955
MELI,2022-06-10,818.3700,848.1900,689.0224,691.6900,3156617
MELI,2022-06-03,807.0000,837.8084,741.9550,788.9000,2173707
MELI,2022-05-27,775.9300,818.6400,690.5000,811.4400,3733861
MELI,2022-05-20,774.2100,835.3200,732.0000,775.6500,4097781
MELI,2022-05-13,892.9400,899.4286,640.0000,794.9600,5549417
MELI,2022-05-06,972.1200,1034.7600,883.6700,927.5500,3256446
MELI,2022-04-29,972.8000,1066.1350,965.8200,973.6300,2446141
MELI,2022-04-22,1050.0000,1139.3400,967.3258,979.8200,2010488
MELI,2022-04-14,1136.1700,1185.8700,1059.1100,1060.3400,1698871
MELI,2022-04-08,1240.0000,1275.8197,1137.1600,1160.8000,1803041
MELI,2022-04-01,1160.5100,1267.6700,1160.5100,1224.1300,2195241
MELI,2022-03-25,1160.0000,1258.1650,1121.3728,1166.3300,2779832
MELI,2022-03-18,887.9200,1191.4674,877.6850,1185.5300,3683855
MELI,2022-03-11,1067.9900,1069.8800,891.6300,891.6900,3967411
MELI,2022-03-04,1093.3900,1176.7550,1048.8900,1055.7800,3266299
MELI,2022-02-25,913.0000,1118.3320,858.9900,1111.3900,5605027
MELI,2022-02-18,1091.1200,1176.8650,936.0100,937.2600,3407410
MELI,2022-02-11,1040.0000,1156.7600,1015.0000,1091.0900,2357874
MELI,2022-02-04,1055.8700,1153.4700,984.0000,1035.3300,2738662
MELI,2022-01-28,1009.0000,1050.7800,957.6000,1048.6300,4121229
MELI,2022-01-21,1092.1000,1148.8699,1046.4700,1052.5600,2841343
MELI,2022-01-14,1048.4200,1227.3100,1001.0100,1122.7400,4712525
MELI,2022-01-07,1355.0100,1360.7650,1072.9100,1085.3600,4343807
MELI,2021-12-31,1275.0000,1365.9700,1273.0000,1348.4000,2057728
MELI,2021-12-23,1150.2600,1265.6550,1138.6400,1262.7300,1728036
MELI,2021-12-17,1141.9600,1260.3000,1125.0250,1187.5500,3481392
MELI,2021-12-10,1050.0000,1221.1900,1018.7300,1144.5000,5458979
MELI,2021-12-03,1286.9200,1292.4500,1040.8400,1052.9500,5708802
MELI,2021-11-26,1429.1300,1435.0000,1244.0000,1258.7100,3302700
MELI,2021-11-19,1603.6200,1642.6100,1394.0100,1401.2700,3942789
MELI,2021-11-12,1644.3800,1711.0200,1563.2200,1597.1500,2234945
MELI,2021-11-05,1485.5800,1705.1400,1471.7400,1629.7600,2665128
MELI,2021-10-29,1521.3475,1561.8600,1477.4800,1481.0200,1902741
MELI,2021-10-22,1569.1100,1619.3500,1499.4650,1503.7800,1868000
MELI,2021-10-15,1500.0400,1572.8600,1452.3901,1563.0900,1864191
MELI,2021-10-08,1647.5200,1650.9000,1505.1000,1511.1900,2250783
MELI,2021-10-01,1842.5600,1844.9500,1641.0100,1667.6000,2090286
MELI,2021-09-24,1821.1300,1913.7700,1777.9500,1869.6200,1233464
MELI,2021-09-17,1858.7800,1905.3230,1811.7900,1878.2300,1135067
MELI,2021-09-10,1953.1200,1962.7850,1847.2500,1847.4100,1146201
MELI,2021-09-03,1853.5500,1970.1300,1848.2200,1946.0100,1555180
MELI,2021-08-27,1793.0100,1874.5600,1771.2100,1865.0000,1561158
MELI,2021-08-20,1850.0000,1865.1450,1744.6350,1786.5400,1648501
MELI,2021-08-13,1765.2200,1899.3300,1736.4201,1851.6000,2158478
MELI,2021-08-06,1587.9100,1812.9500,1539.7400,1756.2700,2572498
MELI,2021-07-30,1610.0000,1651.7950,1524.9500,1568.7000,1627494
MELI,2021-07-23,1488.7100,1626.0500,1471.2300,1613.8100,1392777
MELI,2021-07-16,1555.0100,1579.0200,1484.7000,1512.5100,1407103
MELI,2021-07-09,1557.5100,1574.0000,1477.1101,1554.9700,1073934
MELI,2021-07-02,1551.0000,1584.8722,1516.4160,1551.9600,1129713
MELI,2021-06-25,1468.6000,1576.2100,1440.3500,1541.7200,1718047
MELI,2021-06-18,1396.2300,1482.7300,1390.6880,1468.0600,2369687
MELI,2021-06-11,1320.5100,1406.7000,1300.4400,1392.7500,2271970
MELI,2021-06-04,1371.7900,1380.0050,1318.8700,1325.4200,1372250
MELI,2021-05-28,1373.4300,1405.0899,1344.6100,1358.6700,2047981
MELI,2021-05-21,1309.0200,1406.1550,1297.9700,1367.1200,2512251
MELI,2021-05-14,1460.7800,1464.2960,1262.3800,1323.1000,3352608
MELI,2021-05-07,1579.0000,1625.0600,1432.3760,1481.2600,2810122
MELI,2021-04-30,1598.4200,1649.9100,1560.5000,1570.9800,1687465
MELI,2021-04-23,1571.2600,1614.0900,1506.4759,1600.9100,1764881
MELI,2021-04-16,1563.1100,1629.2912,1536.4200,1591.8800,1660856
MELI,2021-04-09,1528.8100,1600.2000,1462.0000,1584.7300,2087446
MELI,2021-04-01,1430.6900,1570.2900,1368.4400,1510.5000,1939609
MELI,2021-03-26,1454.6400,1492.1500,1337.9500,1431.9700,2575796
MELI,2021-03-19,1536.5900,1620.1104,1420.0100,1448.8900,2565159
MELI,2021-03-12,1450.0000,1588.0000,1362.4950,1550.1500,3735271
MELI,2021-03-05,1691.0300,1724.2300,1348.9100,1470.2400,5469027
MELI,2021-02-26,1878.4800,1881.5000,1575.0001,1638.1100,3562595
MELI,2021-02-19,1958.5000,2006.7100,1827.6900,1910.3900,1605005
MELI,2021-02-12,1948.0000,1955.0000,1863.5400,1943.0000,1837313
MELI,2021-02-05,1812.5800,1938.5900,1810.0050,1918.1300,2062268
MELI,2021-01-29,2006.0000,2012.8000,1700.0000,1779.5100,3658999
MELI,2021-01-22,1888.1700,2020.0000,1861.0000,1965.0500,2481103
MELI,2021-01-15,1701.1600,1889.6200,1675.0000,1851.7800,2789160
MELI,2021-01-08,1690.9900,1725.0000,1564.9500,1719.0000,3874869
META,2023-12-29,354.9900,361.9000,351.8200,353.9600,49392831
META,2023-12-22,337.4800,357.1999,337.0200,353.3900,80087432
META,2023-12-15,329.4000,338.6600,319.9950,334.9200,112025431
META,2023-12-08,317.2900,333.1700,313.6600,332.7500,77246129
META,2023-12-01,336.1800,339.9000,320.7600,324.8200,82768958
META,2023-11-24,334.8900,342.9200,334.1900,338.2300,45186657
META,2023-11-17,326.2000,338.4000,325.7000,335.0400,82071316
META,2023-11-10,315.9800,329.1000,314.4500,328.7700,75773009
META,2023-11-03,299.0900,318.8200,296.8600,314.6000,106699936
META,2023-10-27,309.5000,318.3500,279.4030,296.7300,175795144
META,2023-10-20,318.6400,325.9400,306.4700,308.6500,90796351
META,2023-10-13,312.5000,330.5400,311.8200,314.6900,105469240
META,2023-10-06,302.7400,316.3100,298.5000,315.4300,91442118
META,2023-09-29,295.6400,310.6400,286.7900,300.2100,122374780
META,2023-09-22,298.1900,308.0600,293.2700,299.0800,96234465
META,2023-09-15,301.4100,312.8700,298.7500,300.3100,93654887
META,2023-09-08,297.0200,307.0499,292.2200,297.8900,81695021
META,2023-09-01,288.0000,301.7400,285.8000,296.3800,82872953
META,2023-08-25,283.4500,299.4600,276.0300,285.5000,93530714
META,2023-08-18,300.9800,307.2300,274.3800,283.2500,105111289
META,2023-08-11,313.2300,317.8900,300.3600,301.6400,79780966
META,2023-08-04,323.6900,325.6599,309.9300,310.7300,101978751
META,2023-07-28,295.7800,326.2000,288.3001,325.4800,195241362
META,2023-07-21,307.5400,318.6800,291.2000,294.2600,133827529
META,2023-07-14,295.5500,316.2400,287.0500,308.8700,154656431
META,2023-07-07,286.7000,298.1200,284.8499,290.5300,115814530
META,2023-06-30,288.7000,289.7900,277.6000,286.9800,102153590
META,2023-06-23,278.7300,289.6700,276.2200,288.7300,109912858
META,2023-06-16,267.1700,287.8500,265.3300,281.0000,119911978
META,2023-06-09,270.3000,276.5700,258.8800,264.9500,104174736
META,2023-06-02,265.2500,275.3500,258.4500,272.6100,94204159
META,2023-05-26,245.4100,262.3107,244.9520,262.0400,111351030
META,2023-05-19,236.9200,248.6900,235.3300,245.6400,104686959
META,2023-05-12,231.4150,238.2100,230.2700,233.8100,88995558
META,2023-05-05,238.6150,244.9200,229.8500,232.7800,132847791
META,2023-04-28,213.6750,241.6850,207.1300,240.3200,180884889
META,2023-04-21,219.7900,220.9790,209.5800,212.8900,77783395
META,2023-04-14,214.7100,222.1100,210.6600,221.4900,96689911
META,2023-04-06,208.8400,216.9400,208.2000,216.1000,84452021
META,2023-03-31,204.8100,212.1700,197.9000,211.9400,104554192
META,2023-03-24,198.4800,207.8800,193.6400,206.0100,140613737
META,2023-03-17,177.9600,205.7600,174.8200,195.6100,209454905
